
疾病名称,東灘,灘,中央,兵庫,北,長田,須磨,垂水,西,計,～5ヶ月,～11ヶ月,1歳,2歳,3歳,4歳,5歳,6歳,7歳,8歳,9歳,～14歳,～19歳,～29歳,～39歳,～49歳,～59歳,～69歳,～79歳
インフルエンザ,1,,1,,,,,1,,3,,1,,1,,,,,,,,,,,,,1,,

疾病名称,東灘,灘,中央,兵庫,北,長田,須磨,垂水,西,計,～6ヶ月,～12ヶ月,1歳,2歳,3歳,4歳,5歳,6歳,7歳,8歳,9歳,～14歳,～19歳,20歳～,
ＲＳウイルス感染症,6,,,,2,1,2,4,15,30,1,5,15,5,,4,,,,,,,,,
咽頭結膜熱,3,4,,,1,,1,4,2,15,,,2,2,3,3,1,1,1,1,1,,,,
Ａ群溶血性レンサ球菌咽頭炎,3,1,,,1,3,4,8,11,31,,,1,,1,5,6,6,1,1,3,4,1,2,
感染性胃腸炎,11,5,8,8,24,3,19,50,9,137,5,12,16,9,10,12,7,8,9,6,7,13,8,15,
水痘,,1,,,1,1,4,3,,10,,,2,,,2,3,,,2,,1,,,
手足口病,5,1,,,,,1,3,1,11,,2,1,3,2,2,1,,,,,,,,
伝染性紅斑,2,1,,,,,1,,,4,,,,,,1,1,1,,1,,,,,
突発性発疹,3,,2,,1,1,2,,4,13,,5,7,,,,1,,,,,,,,
百日咳,,,,,,,,,1,1,,,,,,,,,,,,1,,,
ヘルパンギーナ,6,,,,,1,1,1,2,11,,2,1,,3,2,2,,,,,1,,,
流行性耳下腺炎,21,1,4,2,5,10,9,6,6,64,,,2,4,5,5,6,13,8,6,3,9,,3,

疾病名称,東灘,灘,中央,兵庫,北,長田,須磨,垂水,西,計,～6ヶ月,～12ヶ月,1歳,2歳,3歳,4歳,5歳,6歳,7歳,8歳,9歳,～14歳,～19歳,～29歳,～39歳,～49歳,～59歳,～69歳
急性出血性結膜炎,,,,,,,,,,,,,,,,,,,,,,,,,,,,
流行性角結膜炎,1,,,,,,,,1,2,,,,,,,,,,1,,,,1,,,,
