
疾病名称,,東灘,灘,中央,兵庫,北,長田,須磨,垂水,西,計,～5ヶ月,～11ヶ月,1歳,2歳,,3歳,,4歳,,,5歳,,6歳,,7歳,8歳,9歳,～14歳,,～19歳,～29歳,,,～39歳,～49歳,,～59歳,～69歳,,～79歳
インフルエンザ,,36,21,18,16,53,11,40,58,43,296,2,4,11,23,,14,,17,,,10,,14,,18,13,14,49,,16,12,,,30,14,,15,12,,3

疾病名称,,東灘,灘,中央,兵庫,北,長田,須磨,垂水,西,計,～6ヶ月,～12ヶ月,1歳,2歳,,3歳,,4歳,,,5歳,,6歳,,7歳,8歳,9歳,～14歳,,～19歳,20歳～,,,
ＲＳウイルス感染症,,,,,,,,1,,1,2,,,1,,,1,,,,,,,,,,,,,,,,,,
咽頭結膜熱,,,,,,1,,,4,1,6,,,4,1,,,,,,,,,,,1,,,,,,,,,
Ａ群溶血性レンサ球菌咽頭炎,,7,3,5,1,5,,5,3,14,43,,,1,2,,3,,8,,,2,,4,,4,7,2,7,,1,2,,,
感染性胃腸炎,,6,7,16,5,21,7,24,70,21,177,1,7,21,21,,19,,13,,,21,,19,,12,6,6,16,,5,10,,,
水痘,,1,1,,,,,1,1,2,6,,,1,,,,,,,,,,,,1,3,,,,,1,,,
手足口病,,1,,,,,,,1,,2,,,1,,,,,,,,,,,,1,,,,,,,,,
伝染性紅斑,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
突発性発疹,,2,2,1,,1,,2,2,,10,,4,5,1,,,,,,,,,,,,,,,,,,,,
百日咳,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ヘルパンギーナ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
流行性耳下腺炎,,4,7,,,5,1,3,4,3,27,,,,4,,5,,5,,,2,,2,,3,3,1,1,,,1,,,

,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
疾病名称,,東灘,灘,中央,兵庫,北,長田,須磨,垂水,西,計,～6ヶ月,～12ヶ月,1歳,2歳,,3歳,,4歳,,,5歳,,6歳,,7歳,8歳,9歳,～14歳,,～19歳,～29歳,,,～39歳,～49歳,,～59歳,～69歳,
急性出血性結膜炎,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
流行性角結膜炎,,2,,,,,2,,1,1,6,,,,,,,,,,,,,,,,,,,,,,,,2,1,,2,1,
