,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
平成29年6月6日 作成 神戸市感染症情報センター 報告定点数 48 ヶ所 第 22週 平成29年5月29日 ～ 平成29年6月4日 インフルエンザ 設置定点数 48 ヶ所,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
疾病名称,,,,,,,,,東灘,,灘,中央,,兵庫,北,長田,,須磨,垂水,西,計,,,,～6ヶ月,～12ヶ月,1歳,,2歳,,,3歳,,,4歳,,,5歳,6歳,,7歳,,8歳,9歳,～14歳,～19歳,～29歳,,～39歳,～49歳,～59歳,,,～69歳,～79歳,,80歳～,
インフルエンザ,,,,,,,,,,,,,,,2,,,,,3,5,,,,,,,,,,,,,,,,,1,1,,2,,,,,,,,,,,,,1,,,,
報告定点数 31 ヶ所 小児科 設置定点数 31 ヶ所,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
疾病名称,,,,,,,,,東灘,,灘,中央,,兵庫,北,長田,,須磨,垂水,西,計,,,,～6ヶ月,～12ヶ月,1歳,,2歳,,,3歳,,,4歳,,,5歳,6歳,,7歳,,8歳,9歳,～14歳,～19歳,20歳～,,,春から秋にかけて、マダニが媒,,,,,,,,
ＲＳウイルス感染症,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,介する感染症に注意しましょう。 マダニは、日本紅斑熱、ツツガ ムシ病、重症熱性血小板減少症候 群（SFTS）等の感染症の病原体を もっていることがあります。 野生動物が出没する環境や草む ら、民家の裏庭、畑などに生息し ており、数日～10日ほどかけて皮 膚に咬着、吸血し、さされた数日 ～2週間後に、発熱・発疹等の症 状が現れます。 野外活動時には、肌の露出を少 なくして、服の上や肌の露出部分 に、虫よけ剤を噴霧しましょう （子どもへの使用は、使用上の注,,,,,,,,
咽頭結膜熱,,,,,,,,,6,,1,1,,1,1,6,,1,16,2,35,,,,,4,13,,5,,,3,,,3,,,1,1,,1,,1,,1,,2,,,,,,,,,,,
Ａ群溶血性レンサ球菌咽頭炎,,,,,,,,,10,,4,5,,,11,2,,4,5,18,59,,,,,1,,,3,,,10,,,9,,,12,10,,2,,5,2,4,,1,,,,,,,,,,,
感染性胃腸炎,,,,,,,,,23,,13,12,,9,24,12,,43,96,24,256,,,,1,16,36,,31,,,30,,,24,,,18,11,,19,,12,11,22,8,17,,,,,,,,,,,
水痘,,,,,,,,,2,,,1,,,4,,,1,,,8,,,,,,1,,,,,,,,1,,,,3,,,,,,3,,,,,,,,,,,,,
手足口病,,,,,,,,,13,,6,2,,,9,1,,19,12,5,67,,,,1,5,22,,17,,,9,,,8,,,1,2,,,,1,,1,,,,,,,,,,,,,
伝染性紅斑,,,,,,,,,,,,,,,,,,2,,1,3,,,,,,,,,,,,,,1,,,1,1,,,,,,,,,,,,,,,,,,,
突発性発疹,,,,,,,,,,,2,1,,1,,,,2,,4,10,,,,1,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
百日咳,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ヘルパンギーナ,,,,,,,,,1,,,,,,,,,3,3,4,11,,,,,,2,,4,,,1,,,3,,,,1,,,,,,,,,,,意をよく読んでください）。 野外活動後は、すぐに入浴し、 頭や体をよく洗い、新しい服に着 替えましょう。マダニが肌につい,,,,,,,,
流行性耳下腺炎,,,,,,,,,1,,,,,,5,,,1,3,5,15,,,,,,1,,3,,,,,,4,,,3,2,,1,,,,,,1,,,,,,,,,,,
報告定点数 10 ヶ所 眼科 設置定点数 10 ヶ所,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ていた場合は、無理に取り除こう とせず、皮膚科などの医療機関を 受診しましょう。,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
疾病名称,,,,,,,,,東灘,,灘,中央,,兵庫,北,長田,,須磨,垂水,西,計,,,,～6ヶ月,～12ヶ月,1歳,,2歳,,,3歳,,,4歳,,,5歳,6歳,,7歳,,8歳,9歳,～14歳,～19歳,～29歳,,～39歳,～49歳,～59歳,,,～69歳,70歳～,,,
急性出血性結膜炎,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
流行性角結膜炎,,,,,,,,,,,,,,,1,1,,,3,1,6,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,1,2,1,,,,,,,
（定点機関から報告されたその他の感染症情報）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東灘区○ノロウイルス感染症2例：1～3歳 男 中央区○アデノウイルス感染症4例：1歳 男女 北 区○アデノウイルス感染症3例：1～2歳 男 垂水区○細菌性腸炎（病原性大腸菌O1）1例：年齢・性別不明,,,,,,,,,,,,,,,,,,,,,【市内の感染症の状況】,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
