,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
平成29年9月13日 作成 神戸市感染症情報センター 報告定点数 48 ヶ所 第 36週 平成29年9月4日 ～ 平成29年9月10日 インフルエンザ 設置定点数 48 ヶ所,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
疾病名称,,,,,,東灘,灘,中央,,兵庫,北,,長田,須磨,垂水,西,計,,,～6ヶ月,～12ヶ月,1歳,,2歳,,3歳,4歳,5歳,6歳,7歳,8歳,9歳,～14歳,～19歳,,～29歳,～39歳,～49歳,～59歳,～69歳,～79歳,80歳～
インフルエンザ,,,,,,,,1,,,,,,,1,,2,,,,,2,,,,,,,,,,,,,,,,,,,,
報告定点数 31 ヶ所 小児科 設置定点数 31 ヶ所,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
疾病名称,,,,,,東灘,灘,中央,,兵庫,北,,長田,須磨,垂水,西,計,,,～6ヶ月,～12ヶ月,1歳,,2歳,,3歳,4歳,5歳,6歳,7歳,8歳,9歳,～14歳,～19歳,,20歳～,,年間を通して報告のある感染性 胃腸炎は、主に細菌やウイルスが 原因で発症します。 ここ数週の定点医療機関からの 報告は、細菌による胃腸炎が多 く、病原性大腸菌、カンピロバク ター、サルモネラ属菌等が病因物 質です。また、今週は、ウイルス による胃腸炎の報告が多く、冬に 流行するノロウイルスなどのウイ ルス性腸炎も報告されています。 今後の動向に注目しましょう。 これら胃腸炎は、汚染された食 品を加熱不十分で喫食した場合や 汚染された手指を介して感染しま す。特に、ノロウイルスは、ヒト からヒトへの二次感染も多いで す。普段から、食事前や排便後の 手洗いの励行、調理時に食材を しっかり洗い、85～90℃で90秒以 上加熱するなどで、感染を予防を しましょう。,,,,
ＲＳウイルス感染症,,,,,,9,1,9,,,7,,1,10,10,7,54,,,5,16,19,,9,,3,2,,,,,,,,,,,,,,,
咽頭結膜熱,,,,,,2,,,,,,,,,1,2,5,,,,2,2,,,,,,,,,,1,,,,,,,,,,
Ａ群溶血性レンサ球菌咽頭炎,,,,,,5,4,2,,,2,,,1,8,9,31,,,,,1,,3,,1,8,3,6,4,1,1,2,,,1,,,,,,
感染性胃腸炎,,,,,,8,6,1,,2,17,,10,29,51,13,137,,,4,9,21,,19,,16,8,8,3,5,2,2,22,5,,13,,,,,,
水痘,,,,,,1,,,,,,,,3,,1,5,,,,1,1,,,,1,,1,,,,,1,,,,,,,,,
手足口病,,,,,,6,3,4,,1,2,,2,6,6,2,32,,,,5,10,,5,,3,4,,1,1,1,,,,,2,,,,,,
伝染性紅斑,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
突発性発疹,,,,,,4,,5,,,2,,1,1,3,2,18,,,1,3,11,,3,,,,,,,,,,,,,,,,,,
百日咳,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ヘルパンギーナ,,,,,,7,,8,,,1,,,3,7,1,27,,,,4,8,,5,,2,3,1,2,,1,1,,,,,,,,,,
流行性耳下腺炎,,,,,,3,,,,,3,,1,1,4,3,15,,,,,,,1,,,4,2,4,,2,2,,,,,,,,,,
報告定点数 10 ヶ所 眼科 設置定点数 10 ヶ所,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
疾病名称,,,,,,東灘,灘,中央,,兵庫,北,,長田,須磨,垂水,西,計,,,～6ヶ月,～12ヶ月,1歳,,2歳,,3歳,4歳,5歳,6歳,7歳,8歳,9歳,～14歳,～19歳,,～29歳,～39歳,～49歳,～59歳,～69歳,70歳～,
急性出血性結膜炎,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
流行性角結膜炎,,,,,,,,,,,,,,,2,,2,,,,,,,,,,,,,,,,,,,,,1,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【,【定点機,機関,関,,,,,,他の感染症情,,,情報】,】 【,,,,,【市,市内の感染症の状況】,,,,,,】,,,,,,,,,,,,,,,,,
,,,,関から報告されたその他の感染症情報】 【市内の感染症の状況】,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東灘区○細菌性腸炎（腸管出血性大腸菌感染症O111 VT1陽性）1例 ：6歳 女（全数報告にも掲載） ○アデノウイルス感染症1例：3歳 女 中央区○アデノウイルス感染症1例：1歳 男 北 区○アデノウイルス感染症1例：3歳 女 垂水区○細菌性腸炎（カンピロバクター）1例：年齢性別不明 西 区○ノロウイルス感染症1例：年齢性別不明 ○細菌性腸炎（サルモネラ）1例：年齢性別不明,,,,,,,,,,,,,,,,,○RSウイルス RSウイルス患者の報告が、定点あたり1.7人となり、先週より減少しましが、 過去10年同時期と比較すると、まだ多い状況です。 ○腸管出血性大腸菌感染症 市内では、第29週以降、8週続けて計18件の腸管出血性大腸菌感染症の発生届がありました。 全国でも、毎週約200件の報告があり、例年の同時期と比較してやや多く、 なかでも、O157VT2株が広域、散発的に検出されているため、 保健所では、詳しい行動・食事調査を行っています。 また、関東では、3歳児の死亡例も確認されています。 医療機関におかれましては、「溶血性尿毒症症候群の診断・治療ガイドライン」等もご参考下さい。,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
