神戸市感染症発生動向調査週報 平成28年4月27日 作成 神戸市感染症情報センター 報告定点数 48 ヶ所 第16週 2016年 4月 18日 ～ 2016年 4月 24日 インフルエンザ 設置定点数 48 ヶ所,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
疾病名称,東灘,灘,中央,兵庫,北,長田,須磨,垂水,西,計,～5ヶ月,～11ヶ月,1歳,2歳,3歳,4歳,5歳,6歳,7歳,8歳,9歳,～14歳,～19歳,～29歳,～39歳,～49歳,～59歳,～69歳,～79歳,80歳～
インフルエンザ,5,5,4,,6,8,24,12,13,77,1,,1,1,2,3,5,2,4,5,4,23,8,5,3,5,3,,2,
報告定点数 31 ヶ所 小児科 設置定点数 31 ヶ所,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
疾病名称,東灘,灘,中央,兵庫,北,長田,須磨,垂水,西,計,～6ヶ月,～12ヶ月,1歳,2歳,3歳,4歳,5歳,6歳,7歳,8歳,9歳,～14歳,～19歳,20歳～,,今週、アメーバ赤痢の届出があり ました。感染した人や動物が排泄 する糞便中の赤痢アメ－バに汚染 された飲食物の摂取や感染者との 性的接触により感染します。発展 途上国からの帰国者によくみられ る感染症です。平成27年、神戸市 では20例の報告がありました。 海外では、アメーバ赤痢以外にも ジカウイルス感染症やデング熱等 の蚊媒介感染症、A型肝炎、コレラ など、日本ではあまり見られない 感染症が流行しています。渡航先 の感染症の流行状況や予防方法は 厚生労働省検疫所のホームページ などで確認することができます。 予防接種が受けられる感染症につ いては渡航前に余裕を持って医療 機関に相談しましょう。,,,,
ＲＳウイルス感染症,1,,1,,,,,,,2,,,1,1,,,,,,,,,,,,,,,,
咽頭結膜熱,1,2,4,,,2,1,,1,11,,1,3,1,4,,,1,1,,,,,,,,,,,
Ａ群溶血性レンサ球菌咽頭炎,8,10,9,,4,2,3,3,15,54,,,1,3,3,9,3,5,6,3,5,14,,2,,,,,,
感染性胃腸炎,2,11,2,9,23,9,30,104,18,208,2,10,35,30,23,24,19,8,14,2,5,13,1,22,,,,,,
水痘,,,,2,1,1,,6,1,11,1,,2,1,1,1,3,,,,1,1,,,,,,,,
手足口病,1,,,,,,,1,,2,,1,1,,,,,,,,,,,,,,,,,
伝染性紅斑,,,2,1,2,1,,1,2,9,,,1,1,,,4,,2,1,,,,,,,,,,
突発性発疹,2,,4,,1,2,3,2,4,18,,5,9,1,,,,,,,,3,,,,,,,,
百日咳,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ヘルパンギーナ,,,,,,,,1,,1,,,,1,,,,,,,,,,,,,,,,
流行性耳下腺炎,,1,1,,5,,,2,6,15,,,,1,2,2,4,2,1,1,,2,,,,,,,,
報告定点数 10 ヶ所 眼科 設置定点数 10 ヶ所,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
疾病名称,東灘,灘,中央,兵庫,北,長田,須磨,垂水,西,計,～6ヶ月,～12ヶ月,1歳,2歳,3歳,4歳,5歳,6歳,7歳,8歳,9歳,～14歳,～19歳,～29歳,～39歳,～49歳,～59歳,～69歳,70歳～,視する さい。
急性出血性結膜炎,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
流行性角結膜炎,,,,,,,,,2,2,,,,,1,,,,,,,,,,1,,,,,
（定点機関から報告されたその他の感染症情報）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東灘区○マイコプラズマ感染症１例：０～４歳女（６１０２） 灘　 区○サルモネラ腸炎２例：５～９歳男（６２０２） 北　 区○アデノウイルス感染症２例：０～４歳男女（６５０５） 西　 区○カンピロバクター腸炎２例：性別・年齢不詳（６９０１）,,,,,,,,,,,【結核に関する情報】　　今週の結核届出患者数は５人（うち潜在性結核感染症１人）です。 【市内の感染症の状況】 　　　　現在、インフルエンザの定点あたり患者数は1.6となっています。 　　　　１を下回ると流行期が終了となります。 【感染症発生動向調査事業実施要綱】 　http://www.city.kobe.lg.jp/life/health/infection/trend/img/youkou110729.pdf ※病原体サーベイランスとは、流行する感染症の病原体を詳しく調べて、その特徴や流行状況を監視する 　システムです。 解析結果は、「神戸市環境保健研究所における病原体分離・検出状況」をご覧ください。,,,,,,,,,,,,,,,,,,,
〔お知らせ〕　バックナンバーは神戸市のホームページからご覧いただけます。 【感染症発生動向調査事業実施要綱】 　神戸市　発生動向　〔検索〕 　http://www.city.kobe.lg.jp/life/health/infection/trend/img/youkou110729.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　または、神戸市ホームページ上段のバナーを以下のとおりたどってください。 ※病原体サーベイランスとは、流行する感染症の病原体を詳しく調べて、その特徴や流行状況を監視する 　（トップページ ＞ くらし・手続き ＞ 健康・医療 ＞ 感染症・予防接種 ＞ 感染症発生動向） 　システムです。 解析結果は、「神戸市環境保健研究所における病原体分離・検出状況」をご覧ください。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
