神戸市感染症発生動向調査週報 平成28年10月12日 作成 神戸市感染症情報センター 報告定点数 48 ヶ所 第40週 2016年 10月 3日 ～ 2016年 10月 9日 インフルエンザ 設置定点数 48 ヶ所,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
疾病名称,,東灘,灘,,中央,,兵庫,北,長田,須磨,垂水,西,計,～5ヶ月,～11ヶ月,1歳,2歳,,,3歳,4歳,5歳,6歳,7歳,,8歳,9歳,,～14歳,～19歳,～29歳,～39歳,～49歳,～59歳,～69歳,～79歳,80歳～
インフルエンザ,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,1,,,,
報告定点数 31 ヶ所 小児科 設置定点数 31 ヶ所,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
疾病名称,,東灘,灘,,中央,,兵庫,北,長田,須磨,垂水,西,計,～6ヶ月,～12ヶ月,1歳,2歳,,,3歳,4歳,5歳,6歳,7歳,,8歳,9歳,,～14歳,～19歳,20歳～,,本年はレジオネラ症の報告が39週 で20例となり、平成27年14例、平 成26年16例など例年と比較すると 多くなっています（患者はすべて 50代以上、肺炎型）。レジオネラ 属菌は土壌に常在する菌で、これ らに汚染されたエアロゾル（ミス ト状の水滴）等を吸い込むことで 感染します。肺炎を主徴とし有効 な抗菌薬治療がなされないと死に 至ることがあります。高齢者や基 礎疾患を有する方など免疫力が低 下している方は発症のリスクが高 まるため注意が必要です。国内で は、循環式浴槽（特にジャグジー や気泡風呂）による感染事例が多 く、定期的な浴槽水の交換や残留 塩素の保持等、適切な維持管理が 必要です。,,,,
ＲＳウイルス感染症,,11,,,1,,,1,,4,8,5,30,5,6,11,3,,,4,1,,,,,,,,,,,,,,,,
咽頭結膜熱,,,5,,,,,1,,1,1,5,13,,1,3,,,,2,3,1,,,,1,1,,1,,,,,,,,
Ａ群溶血性レンサ球菌咽頭炎,,8,5,,,,,2,2,5,2,13,37,,,,2,,,4,7,5,6,5,,1,,,7,,,,,,,,
感染性胃腸炎,,3,2,,2,,2,15,4,27,41,9,105,1,12,12,12,,,8,11,11,5,6,,1,3,,8,3,12,,,,,,
水痘,,,1,,,,1,,1,,1,4,8,,,2,1,,,,1,,1,2,,1,,,,,,,,,,,
手足口病,,5,,,2,,,1,2,,7,3,20,,1,11,2,,,1,3,2,,,,,,,,,,,,,,,
伝染性紅斑,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
突発性発疹,,1,,,1,,,1,2,1,4,2,12,1,5,6,,,,,,,,,,,,,,,,,,,,,
百日咳,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
