
疾病名称,,,,,,東灘,灘,中央,,兵庫,北,,長田,須磨,垂水,西,計,～6ヶ月,～12ヶ月,1歳,2歳,3歳,,,,,4歳,,5歳,6歳,,7歳,8歳,9歳,～14歳,～19歳,,～29歳,,,～39歳,,～49歳,～59歳,～69歳,～79歳
インフルエンザ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

疾病名称,,,,,,東灘,灘,中央,,兵庫,北,,長田,須磨,垂水,西,計,～6ヶ月,～12ヶ月,1歳,2歳,3歳,,,,,4歳,,5歳,6歳,,7歳,8歳,9歳,～14歳,～19歳,,20歳～,,,,
ＲＳウイルス感染症,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
咽頭結膜熱,,,,,,11,1,,,,1,,,,15,2,30,,5,9,2,6,,,,,3,,4,,,,1,,,,,,,,,
Ａ群溶血性レンサ球菌咽頭炎,,,,,,12,9,6,,,13,,1,8,7,16,72,,,3,4,7,,,,,10,,5,11,,10,10,4,6,1,,1,,,,
感染性胃腸炎,,,,,,32,11,9,,4,40,,16,49,77,22,260,1,11,51,25,22,,,,,30,,21,12,,15,10,5,23,7,,27,,,,
水痘,,,,,,,1,1,,,4,,,,4,2,12,,,1,1,2,,,,,2,,,3,,2,,1,,,,,,,,
手足口病,,,,,,12,10,10,,6,18,,11,21,39,9,136,,14,50,32,12,,,,,14,,7,3,,1,1,,1,,,1,,,,
伝染性紅斑,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,
突発性発疹,,,,,,4,1,2,,1,1,,1,1,3,2,16,1,6,7,2,,,,,,,,,,,,,,,,,,,,,
百日咳,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ヘルパンギーナ,,,,,,10,,,,,2,,2,6,3,9,32,,3,18,6,1,,,,,1,,,1,,,,,1,,,1,,,,
流行性耳下腺炎,,,,,,3,2,,,,,,,,1,10,16,,,,,2,,,,,3,,2,2,,2,2,,3,,,,,,,

,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
疾病名称,,,,,,東灘,灘,中央,,兵庫,北,,長田,須磨,垂水,西,計,～6ヶ月,～12ヶ月,1歳,2歳,3歳,,,,,4歳,,5歳,6歳,,7歳,8歳,9歳,～14歳,～19歳,,～29歳,,,～39歳,,～49歳,～59歳,～69歳
急性出血性結膜炎,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
流行性角結膜炎,,,,,,,1,,,,,,2,,,2,5,,,1,,1,,,,,,,,,,,,,,,,1,,,,,,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
