
疾病名称,東灘,灘,中央,兵庫,北,長田,須磨,垂水,西,計,～5ヶ月,～11ヶ月,1歳,2歳,3歳,4歳,5歳,6歳,7歳,8歳,9歳,～14歳,～19歳,～29歳,～39歳,～49歳,～59歳,～69歳,～79歳
インフルエンザ,157,85,74,53,210,94,167,224,329,"1,393",3,14,39,57,50,99,103,109,94,95,86,280,62,41,79,71,40,44,19

疾病名称,東灘,灘,中央,兵庫,北,長田,須磨,垂水,西,計,～6ヶ月,～12ヶ月,1歳,2歳,3歳,4歳,5歳,6歳,7歳,8歳,9歳,～14歳,～19歳,20歳～,
ＲＳウイルス感染症,,,,,,,1,2,,3,2,,,1,,,,,,,,,,,
咽頭結膜熱,2,,2,,,,1,3,1,9,,1,3,1,2,,,,1,,,1,,,
Ａ群溶血性レンサ球菌咽頭炎,2,9,5,2,1,6,4,13,17,59,,,4,3,3,9,11,4,8,3,2,12,,,
感染性胃腸炎,8,14,7,8,28,,35,60,16,176,1,7,19,18,14,22,26,12,8,7,5,19,4,14,
水痘,,,,,,2,,2,1,5,,,,,1,,1,1,,1,,,1,,
手足口病,,,,,,,,,,,,,,,,,,,,,,,,,
伝染性紅斑,2,1,,1,4,2,,3,2,15,,,1,,,2,1,5,4,1,,1,,,
突発性発疹,3,,,,1,,2,2,,8,,4,4,,,,,,,,,,,,
百日咳,,,,,,,,,,,,,,,,,,,,,,,,,
ヘルパンギーナ,,,,,,,,,,,,,,,,,,,,,,,,,
流行性耳下腺炎,,,,,4,1,1,,1,7,,,,,1,2,2,1,1,,,,,,

疾病名称,東灘,灘,中央,兵庫,北,長田,須磨,垂水,西,計,～6ヶ月,～12ヶ月,1歳,2歳,3歳,4歳,5歳,6歳,7歳,8歳,9歳,～14歳,～19歳,～29歳,～39歳,～49歳,～59歳,～69歳
急性出血性結膜炎,,,,,,,,,,,,,,,,,,,,,,,,,,,,
流行性角結膜炎,,,,,,,,1,,1,,,,,1,,,,,,,,,,,,,
