
疾病名称,東灘,灘,中央,兵庫,北,長田,須磨,,垂水,西,,計,～5ヶ月,～11ヶ月,1歳,2歳,3歳,4歳,5歳,6歳,7歳,8歳,9歳,～14歳,～19歳,～29歳,～39歳,～49歳,～59歳,～69歳,～79歳
インフルエンザ,,3,,1,7,3,8,,17,7,,46,,,,4,2,2,6,3,1,6,2,6,3,5,1,3,1,1,

疾病名称,東灘,灘,中央,兵庫,北,長田,須磨,,垂水,西,,計,～6ヶ月,～12ヶ月,1歳,2歳,3歳,4歳,5歳,6歳,7歳,8歳,9歳,～14歳,～19歳,20歳～,
ＲＳウイルス感染症,4,,1,,2,,2,,1,12,,22,6,2,7,3,2,2,,,,,,,,,
咽頭結膜熱,,3,,,,1,1,,2,,,7,,1,,2,,2,1,,1,,,,,,
Ａ群溶血性レンサ球菌咽頭炎,6,2,,,1,,1,,4,29,,43,,,,2,3,3,6,2,5,7,6,9,,,
感染性胃腸炎,19,31,17,14,64,23,76,,125,29,,398,2,12,33,39,45,39,44,40,18,20,20,27,8,51,
水痘,9,,,,14,7,3,,8,4,,45,,1,2,,5,13,9,7,3,1,1,3,,,
手足口病,2,,1,1,3,1,7,,2,1,,18,,1,6,5,2,1,1,1,,,,,,1,
伝染性紅斑,,2,,,,,,,,,,2,,,,,,1,,1,,,,,,,
突発性発疹,1,,1,1,1,1,2,,,1,,8,,3,4,1,,,,,,,,,,,
百日咳,,,,,,,,,,,,,,,,,,,,,,,,,,,
ヘルパンギーナ,,1,,,1,,3,,,3,,8,,1,1,,2,,2,1,,,,1,,,
流行性耳下腺炎,17,3,2,1,8,6,9,,12,5,,63,,2,1,2,1,9,10,10,6,7,3,9,1,2,

,,,,,,,,,,,,,,,,,,,,,,,,,,,
疾病名称,東灘,灘,中央,兵庫,北,長田,須磨,,垂水,西,,計,～6ヶ月,～12ヶ月,1歳,2歳,3歳,4歳,5歳,6歳,7歳,8歳,9歳,～14歳,～19歳,～29歳,～39歳,～49歳,～59歳,～69歳
急性出血性結膜炎,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
流行性角結膜炎,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,1,,
