"神戸市感染症発生動向調査週報 平成29年3月22日 作成 神戸市感染症情報センター 報告定点数 48 ヶ所 　（内訳）東灘6,灘3,中央3,兵庫3, 第11週 2017年 3月 13日 ～ 2017年 3月 19日 インフルエンザ 設置定点数 48 ヶ所 北8,長田3,須磨6,垂水8,西8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
疾病名称,,東灘,灘,中央,兵庫,北,長田,須磨,垂水,西,計,～5ヶ月,～11ヶ月,1歳,2歳,,3歳,,4歳,,,5歳,,6歳,,7歳,8歳,9歳,～14歳,,～19歳,～29歳,,,～39歳,～49歳,,～59歳,～69歳,,～79歳,80歳～
インフルエンザ,,14,23,17,10,16,12,26,47,51,216,1,3,10,13,,5,,10,,,6,,10,,9,8,10,36,,10,20,,,13,10,,12,15,,12,3
"報告定点数 31 ヶ所 　（内訳）東灘4,灘2,中央2,兵庫2, 小児科 設置定点数 31 ヶ所 北5,長田2,須磨4,垂水5,西5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
疾病名称,,東灘,灘,中央,兵庫,北,長田,須磨,垂水,西,計,～6ヶ月,～12ヶ月,1歳,2歳,,3歳,,4歳,,,5歳,,6歳,,7歳,8歳,9歳,～14歳,,～19歳,20歳～,,,,0歳児の劇症型溶血性レンサ球菌 感染症の届出がありました。 ショック症状と髄膜炎を発症して おり重症で、血液および髄液から B群溶血性レンサ球菌（GBS）が検 出されています。新生児GBS感染 症は、生後6日以内に発症する早 発型感染と、7日以降89日までの 間に発症する遅発型感染に区別さ れます。早発型感染では出生時に おける産道感染が主体ですが、遅 発型感染は産道感染と児に関わる 周囲の人からの接触感染もありま す。新生児GBS感染症を発症した 場合、死亡・後遺症を残す頻度が 高く、感染予防として妊娠33～37 週にGBS検査を受けることが推奨 されています。 （医師の方へ）本疾患は5類全数 報告対象なので、診断した場合は 届出をお願いします。,,,,,,
ＲＳウイルス感染症,,2,,,,,,2,3,,7,4,,,2,,,,,,,,,1,,,,,,,,,,,,,,,,,,
咽頭結膜熱,,1,,,,,,2,5,,8,,1,,3,,2,,,,,1,,,,,,,,,1,,,,,,,,,,,
Ａ群溶血性レンサ球菌咽頭炎,,4,1,5,,10,,,7,9,36,,,2,1,,3,,8,,,2,,8,,3,3,1,3,,1,1,,,,,,,,,,
感染性胃腸炎,,7,10,8,5,26,14,36,67,21,194,1,3,25,26,,12,,27,,,18,,16,,10,7,3,18,,3,25,,,,,,,,,,
水痘,,,,2,,,,,1,2,5,,,,,,,,,,,2,,,,1,2,,,,,,,,,,,,,,,
手足口病,,1,,,,,,,6,,7,,,,1,,4,,,,,,,,,2,,,,,,,,,,,,,,,,
伝染性紅斑,,1,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
突発性発疹,,4,1,1,,,,2,1,5,14,,5,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
百日咳,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ヘルパンギーナ,,,,,,,,,2,,2,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,
流行性耳下腺炎,,4,1,1,,2,,8,3,6,25,,,,,,1,,6,,,6,,4,,3,2,1,2,,,,,,,,,,,,,
"　 報告定点数 10 ヶ所 （内訳）東灘1,灘1,中央1,兵庫1, 眼科 設置定点数 10 ヶ所 北1,長田1,須磨1,垂水1,西2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
疾病名称,,東灘,灘,中央,兵庫,北,長田,須磨,垂水,西,計,～6ヶ月,～12ヶ月,1歳,2歳,,3歳,,4歳,,,5歳,,6歳,,7歳,8歳,9歳,～14歳,,～19歳,～29歳,,,～39歳,～49歳,,～59歳,～69歳,,70歳～,
急性出血性結膜炎,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
流行性角結膜炎,,,,,,,,1,1,,2,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,
（定点機関から報告されたその他の感染症情報）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東灘区○マイコプラズマ肺炎１例：５～９歳女（６１０１） 灘　 区○マイコプラズマ感染症１例：５～９歳男（６２０２） 中央区○アデノウイルス感染症２例：０～４歳女（６３０１） 中央区○ロタウイルス腸炎１例：０～４歳男（６３０１） 北　 区○アデノウイルス感染症４例：０～４歳男、５～９歳男（６５０５） 北　 区○ロタウイルス腸炎１例：０～４歳女（６５０５） 北　 区○ヒトメタニューモウイルス感染症１例：０～４歳男（６５０５） 北　 区○病原性大腸菌（O1）感染症１例：５～９歳女（６５０５） 北　 区○カンピロバクター腸炎１例：５～９歳女（６５０５） 垂水区○病原性大腸菌（O-18）感染症１例：年齢・性別不明（６８０４） 西　 区○ロタウイルス感染症２例：年齢・性別不明（６９０３）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,【 【 　 〔,,,,【結核 【市内 ・イ 　　　と ・感 （イン 〔お知 　神,核 内 イ と 感 細,核に関 内の感染 インフル となる定 感染性 細菌が ンフルエ 知らせ〕 神戸市　,,関 染 ル 定 性胃 が原 エン 　バ 　発,関する情 症の状 エンザ 点あた 胃腸炎の 原因にな ンザ定点 バックナ 発生動向,,情 状況 の たり の な 点機 ナン 向,情報 況】 の定 り患 の患 なり、 機関 ンバ 　〔,報】 定点 患者 者 、例 関か バー 検,】　　今 点あたり 者数 1.0 が緩や 例年2～ から報告 ーは神戸 索〕,今週の結核 り患者数は 4 0人に近づい やかに増加し ～5月にかけて 告された迅速 戸市のホーム 「ILI情報,,核届出 4.5人（先 いていま していま てはロタ 速キット陽 ムページ 報センター,出 先 ます ま タ 陽 ジか ー」,,,,は０人です。 と減少し、流行終息のめやす 胃腸炎は多くのウイルスや 流行します。,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,出患者数は０人です。 先週 6.2人）と減少し、流行終息のめやす す。 す。 感染性胃腸炎は多くのウイルスや タウイルスが流行します。,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
基幹定点（市内 3ヶ所）からの報告,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A　型,,,,B　型,,,をクリック,,
・インフルエンザによる入院患者：２人（７０代男１人、８０代男１人） 　いずれも集中治療室、人工呼吸器、頭部CT 検査等で対応しています。 ・細菌性髄膜炎：１人（０～４歳、病原体：Ｂ群レンサ球菌） 週報（第10週）に掲載した劇症型溶血性レンサ球菌感染症患者と同一,,,,,,,,,,,,,,,,,ンフルエンザ定点機関から報告された迅速キット陽性情報） 知らせ〕　バックナンバーは神戸市のホームページからご覧いた 神戸市　発生動向　〔検索〕 「ILI情報センター」ホームページ,,,,,,,,,,,,,,,,175,,,,24,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ただけます。 ジを開設しました！詳細はこちらをクリック,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
