
疾病名称,,東灘,灘,中央,兵庫,北,長田,須磨,垂水,西,計,～5ヶ月,～11ヶ月,1歳,2歳,,3歳,,4歳,,,5歳,,6歳,,7歳,8歳,9歳,～14歳,,～19歳,～29歳,,～39歳,～49歳,～59歳,,～69歳,～79歳,
インフルエンザ,,11,10,11,6,8,2,8,22,27,105,,2,7,4,,4,,8,,,6,,9,,2,1,4,7,,6,8,,8,9,7,,5,7,

疾病名称,,東灘,灘,中央,兵庫,北,長田,須磨,垂水,西,計,～6ヶ月,～12ヶ月,1歳,2歳,,3歳,,4歳,,,5歳,,6歳,,7歳,8歳,9歳,～14歳,,～19歳
ＲＳウイルス感染症,,,,,,,,1,,4,5,2,2,1,,,,,,,,,,,,,,,,,
咽頭結膜熱,,,,,,,1,1,4,,6,,,4,1,,,,,,,1,,,,,,,,,
Ａ群溶血性レンサ球菌咽頭炎,,5,,2,,1,14,3,13,3,41,1,,2,6,,5,,6,,,5,,1,,2,2,2,3,,
感染性胃腸炎,,12,9,8,2,27,6,45,51,28,188,,7,26,27,,21,,16,,,17,,15,,14,7,3,19,,3
水痘,,6,,,,1,,,7,,14,,,,2,,,,1,,,5,,5,,,,,,,1
手足口病,,,2,,,,,,1,,3,,,1,1,,,,,,,1,,,,,,,,,
伝染性紅斑,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
突発性発疹,,,,1,1,1,,1,4,1,9,,2,5,2,,,,,,,,,,,,,,,,
百日咳,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ヘルパンギーナ,,4,,,,,,,,,4,,,2,1,,,,,,,1,,,,,,,,,
流行性耳下腺炎,,3,2,,,3,2,5,2,7,24,,,,2,,,,3,,,6,,2,,4,1,2,4,,

,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
疾病名称,,東灘,灘,中央,兵庫,北,長田,須磨,垂水,西,計,～6ヶ月,～12ヶ月,1歳,2歳,,3歳,,4歳,,,5歳,,6歳,,7歳,8歳,9歳,～14歳,,～19歳,～29歳,,～39歳,～49歳,～59歳,,～69歳
急性出血性結膜炎,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
流行性角結膜炎,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,
