
疾病名称,,東灘,灘,,中央,,兵庫,北,長田,須磨,垂水,西,計,～5ヶ月,～11ヶ月,1歳,2歳,,,3歳,4歳,5歳,6歳,7歳,,8歳,9歳,,～14歳,～19歳,～29歳,～39歳,～49歳,～59歳,～69歳,～79歳
インフルエンザ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

疾病名称,,東灘,灘,,中央,,兵庫,北,長田,須磨,垂水,西,計,～6ヶ月,～12ヶ月,1歳,2歳,,,3歳,4歳,5歳,6歳,7歳,,8歳,9歳,,～14歳,～19歳,20歳～,
ＲＳウイルス感染症,,,,,1,,,,,,,,1,,1,,,,,,,,,,,,,,,,,
咽頭結膜熱,,3,3,,,,,,,,5,1,12,,,1,,,,2,1,1,2,3,,,,,1,,1,
Ａ群溶血性レンサ球菌咽頭炎,,3,7,,3,,,4,1,1,3,15,37,,,1,2,,,3,5,1,6,3,,7,2,,6,,1,
感染性胃腸炎,,5,10,,2,,10,17,4,36,71,11,166,1,7,23,16,,,12,18,18,10,3,,10,3,,17,6,22,
水痘,,1,,,,,,2,,1,1,,5,,,1,,,,,1,3,,,,,,,,,,
手足口病,,3,,,2,,1,,2,1,13,4,26,,3,3,7,,,5,4,,2,1,,,,,1,,,
伝染性紅斑,,1,,,,,,,1,,1,3,6,,,1,,,,2,,1,2,,,,,,,,,
突発性発疹,,4,1,,1,,1,1,3,1,1,2,15,3,9,3,,,,,,,,,,,,,,,,
百日咳,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ヘルパンギーナ,,57,,,14,,3,14,8,36,39,14,185,,26,47,37,,,22,18,22,4,2,,2,,,3,,2,
流行性耳下腺炎,,5,1,,3,,1,8,1,9,1,7,36,,,1,2,,,3,8,6,5,5,,2,4,,,,,

,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
疾病名称,,東灘,灘,,中央,,兵庫,北,長田,須磨,垂水,西,計,～6ヶ月,～12ヶ月,1歳,2歳,,,3歳,4歳,5歳,6歳,7歳,,8歳,9歳,,～14歳,～19歳,～29歳,～39歳,～49歳,～59歳,～69歳
急性出血性結膜炎,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
流行性角結膜炎,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
