
疾病名称,東灘,灘,中央,兵庫,北,長田,須磨,垂水,西,計,～5ヶ月,～11ヶ月,1歳,2歳,3歳,4歳,5歳,6歳,7歳,8歳,9歳,～14歳,～19歳,～29歳,～39歳,～49歳,～59歳,～69歳,～79歳
インフルエンザ,99,73,43,25,97,61,147,179,178,902,,3,16,29,40,63,79,61,58,79,58,190,38,25,57,43,28,17,15

疾病名称,東灘,灘,中央,兵庫,北,長田,須磨,垂水,西,計,～6ヶ月,～12ヶ月,1歳,2歳,3歳,4歳,5歳,6歳,7歳,8歳,9歳,～14歳,～19歳
ＲＳウイルス感染症,,1,,,,,,1,1,3,1,,1,,1,,,,,,,,
咽頭結膜熱,2,2,1,,,1,1,2,3,12,,1,6,,,4,1,,,,,,
Ａ群溶血性レンサ球菌咽頭炎,2,5,5,,1,4,7,9,18,51,,,1,1,6,5,7,4,6,5,7,7,
感染性胃腸炎,9,13,11,,17,1,25,70,9,155,3,8,18,14,11,18,18,11,6,5,6,18,4
水痘,3,,,1,1,,1,1,1,8,,1,,,,,4,1,1,1,,,
手足口病,,,,,,,,,,,,,,,,,,,,,,,
伝染性紅斑,,,,,5,,1,2,2,10,,,,,,3,2,2,2,1,,,
突発性発疹,,2,1,,,1,2,1,4,11,,4,5,2,,,,,,,,,
百日咳,,,,,,,,,,,,,,,,,,,,,,,
ヘルパンギーナ,,,,,,,,,,,,,,,,,,,,,,,
流行性耳下腺炎,,,,,8,,,,2,10,,,,,3,,,4,,,1,2,

疾病名称,東灘,灘,中央,兵庫,北,長田,須磨,垂水,西,計,～6ヶ月,～12ヶ月,1歳,2歳,3歳,4歳,5歳,6歳,7歳,8歳,9歳,～14歳,～19歳,～29歳,～39歳,～49歳,～59歳,～69歳
急性出血性結膜炎,,,,,,,,,,,,,,,,,,,,,,,,,,,,
流行性角結膜炎,,,,,,,,1,1,2,,,,,,1,,,,,,,,,1,,,
