
疾病名称,東灘,灘,中央,兵庫,北,長田,須磨,垂水,西,計,～5ヶ月,～11ヶ月,1歳,2歳,3歳,4歳,5歳,6歳,7歳,8歳,9歳,～14歳,～19歳,～29歳,～39歳,～49歳,～59歳,～69歳,～79歳
インフルエンザ,46,23,23,18,57,21,99,104,82,473,1,4,16,19,20,34,29,27,28,22,28,80,16,26,34,36,19,20,10

疾病名称,東灘,灘,中央,兵庫,北,長田,須磨,垂水,西,計,～6ヶ月,～12ヶ月,1歳,2歳,3歳,4歳,5歳,6歳,7歳,8歳,9歳,～14歳,～19歳
ＲＳウイルス感染症,2,,,,,,,,,2,,1,1,,,,,,,,,,
咽頭結膜熱,,,,,,,2,4,3,9,,,2,,2,,2,,1,,1,,
Ａ群溶血性レンサ球菌咽頭炎,8,2,,,2,3,7,7,11,40,,1,5,4,5,6,4,1,5,2,2,3,
感染性胃腸炎,7,10,17,5,28,9,30,76,15,197,2,13,22,23,28,15,23,14,10,6,9,15,4
水痘,,,,2,1,,1,3,,7,,1,1,1,2,,,2,,,,,
手足口病,,,,,,,,,,,,,,,,,,,,,,,
伝染性紅斑,1,1,,,3,1,,3,1,10,,,,,,2,4,1,2,1,,,+
突発性発疹,3,1,1,,1,,2,,1,9,,2,7,,,,,,,,,,
百日咳,,,,,,,,,,,,,,,,,,,,,,,
ヘルパンギーナ,,,,,,,,1,,1,,1,,,,,,,,,,,
流行性耳下腺炎,3,,,,8,,,1,7,19,,2,,2,2,1,3,5,2,1,1,,

疾病名称,東灘,灘,中央,兵庫,北,長田,須磨,垂水,西,計,～6ヶ月,～12ヶ月,1歳,2歳,3歳,4歳,5歳,6歳,7歳,8歳,9歳,～14歳,～19歳,～29歳,～39歳,～49歳,～59歳,～69歳
急性出血性結膜炎,,,,,,,,,,,,,,,,,,,,,,,,,,,,
流行性角結膜炎,,,,,,,,,1,1,,,,,,,,,,1,,,,,,,,
