神戸市感染症発生動向調査週報 平成28年2月24日 作成 神戸市感染症情報センター 報告定点数 48 ヶ所 第７週 2016年 2月 15日 ～ 2016年 2月 21日 インフルエンザ 設置定点数 48 ヶ所,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
疾病名称,東灘,灘,中央,兵庫,北,長田,須磨,垂水,西,計,～5ヶ月,～11ヶ月,1歳,2歳,3歳,4歳,5歳,6歳,7歳,8歳,9歳,～14歳,～19歳,～29歳,～39歳,～49歳,～59歳,～69歳,～79歳,80歳～
インフルエンザ,201,114,138,106,277,128,198,368,409,"1,939",4,22,65,85,83,112,123,145,139,117,103,344,74,53,145,157,74,54,34,6
報告定点数 31 ヶ所 小児科 設置定点数 31 ヶ所,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
疾病名称,東灘,灘,中央,兵庫,北,長田,須磨,垂水,西,計,～6ヶ月,～12ヶ月,1歳,2歳,3歳,4歳,5歳,6歳,7歳,8歳,9歳,～14歳,～19歳,20歳～,,インフルエンザの定点あたり患者 数は40.4人となり、警報レベルを 超える流行が続いています。予防 には、咳エチケット（マスクを着 用、せき・くしゃみは人に向けな いなど）を心がけましょう。 　今週今年3例目(昨年1例)となる インフルエンザによる急性脳炎の 届出がありました。(0～4歳、5～ 9歳、10代）症状は、発熱から数 時間～1日以内に神経障害（けい れん、意識障害、異常行動等）が 現れます。死亡したり、知能低下 や運動麻痺等の後遺症を残す例も 報告されています。呼びかけても 反応しない、すぐにウトウトす る、意味不明なことを言うなど重 症化のサインが１つでもあればす ぐに医療機関を受診しましょう。,,,,
ＲＳウイルス感染症,1,,2,,,,,2,2,7,2,2,1,,1,,,,,1,,,,,,,,,,
咽頭結膜熱,,,2,,,,2,2,1,7,1,,2,,2,1,,,,,,1,,,,,,,,
Ａ群溶血性レンサ球菌咽頭炎,13,7,3,,2,1,5,11,24,66,,,2,,9,10,20,5,4,4,3,8,,1,,,,,,
感染性胃腸炎,23,5,5,9,32,6,24,64,18,186,3,15,20,18,27,17,8,10,8,10,4,21,2,23,,,,,,
水痘,,1,,1,,1,1,2,1,7,,,,,,2,,,,2,,3,,,,,,,,
手足口病,,,1,,,,,,,1,,1,,,,,,,,,,,,,,,,,,
伝染性紅斑,1,3,,,2,,1,1,,8,,,2,,,,,4,,,,2,,,,,,,,
突発性発疹,,,1,,1,,1,3,5,11,1,6,3,1,,,,,,,,,,,,,,,,
百日咳,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ヘルパンギーナ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
流行性耳下腺炎,,,,,5,,1,4,1,11,,,,,1,,,2,1,2,4,1,,,,,,,,
報告定点数 10 ヶ所 眼科 設置定点数 10 ヶ所,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
疾病名称,東灘,灘,中央,兵庫,北,長田,須磨,垂水,西,計,～6ヶ月,～12ヶ月,1歳,2歳,3歳,4歳,5歳,6歳,7歳,8歳,9歳,～14歳,～19歳,～29歳,～39歳,～49歳,～59歳,～69歳,70歳～,視する さい。
急性出血性結膜炎,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
流行性角結膜炎,,,,,,,,,1,1,,,,,,,,,,,,,,,1,,,,,
（定点機関から報告されたその他の感染症情報）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東灘区○アデノウイルス感染症３例：年齢・性別不詳（６１０１） 灘　 区○マイコプラズマ感染症１例：１０代男（６２０２） 北　 区○アデノウイルス感染症１例：０～４歳女（６５０５） 垂水区○病原性大腸菌感染症１例：性別・年齢不詳（６８０４） 西　 区○マイコプラズマ感染症１例：５～９歳女（６９０２） 西　 区○マイコプラズマ感染症２例：５～９歳女、１０代女（６９０５）,,,,,,,,,,,【結核に関する情報】　　今週の結核届出患者数は11人（うち潜在性結核感染症2人）です。 【市内の感染症の状況】 　　　　インフルエンザの定点あたり患者数は40.4人で 　　　　先週に引き続き警報レベルを超えています。(先週は39.81人） 【感染症発生動向調査事業実施要綱】 　http://www.city.kobe.lg.jp/life/health/infection/trend/img/youkou110729.pdf ※病原体サーベイランスとは、流行する感染症の病原体を詳しく調べて、その特徴や流行状況を監視する 　システムです。 解析結果は、「神戸市環境保健研究所における病原体分離・検出状況」をご覧ください。,,,,,,,,,,,,,,,,,,,
〔お知らせ〕　バックナンバーは神戸市のホームページからご覧いただけます。 【感染症発生動向調査事業実施要綱】 　神戸市　発生動向　〔検索〕 　http://www.city.kobe.lg.jp/life/health/infection/trend/img/youkou110729.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　または、神戸市ホームページ上段のバナーを以下のとおりたどってください。 ※病原体サーベイランスとは、流行する感染症の病原体を詳しく調べて、その特徴や流行状況を監視する 　（トップページ ＞ くらし・手続き ＞ 健康・医療 ＞ 感染症・予防接種 ＞ 感染症発生動向） 　システムです。 解析結果は、「神戸市環境保健研究所における病原体分離・検出状況」をご覧ください。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
