"神戸市感染症発生動向調査週報 平成29年4月5日 作成 神戸市感染症情報センター 報告定点数 48 ヶ所 （内訳）東灘6,灘3,中央3,兵庫3, 第12週 2017年 3月 27日 ～ 2017年 4月 2日 インフルエンザ 設置定点数 48 ヶ所 北8,長田3,須磨6,垂水8,西8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
疾病名称,,東灘,灘,中央,兵庫,北,長田,須磨,垂水,西,計,～5ヶ月,～11ヶ月,1歳,2歳,3歳,4歳,5歳,6歳,7歳,8歳,9歳,～14歳,～19歳,～29歳,,～39歳,～49歳,,～59歳,～69歳,,～79歳,80歳～
インフルエンザ,,23,10,7,7,14,10,10,59,54,194,,4,10,8,6,14,4,9,16,12,1,25,9,13,,22,17,,6,6,,9,3
"報告定点数 31 ヶ所 （内訳）東灘4,灘2,中央2,兵庫2, 小児科 設置定点数 31 ヶ所 北5,長田2,須磨4,垂水5,西5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
疾病名称,,東灘,灘,中央,兵庫,北,長田,須磨,垂水,西,計,～6ヶ月,～12ヶ月,1歳,2歳,3歳,4歳,5歳,6歳,7歳,8歳,9歳,～14歳,～19歳,20歳～,,,市内の保育園通園児からロタウイ ルスが多く検出されています。 ロタウイルスによる胃腸炎は5歳 以下の乳幼児に多くみられ、例年 3～5月にかけて流行します。症状 として突然の嘔吐に続き、白っぽ い水様性下痢が頻回みられること が特徴です。特に初めて感染した 乳幼児は症状が強く出やすいで す。重症化した場合、重度の脱水 症状や、脳炎・脳症などを合併 し、入院治療が必要になることが あります。感染力が非常に強く、 患者の便にウイルスが大量に含ま れているため、オムツの適切な処 理、手洗いの徹底などが必要で す。 衣類が吐物や便で汚れたと きは次亜塩素酸Naで漬け置き消毒 した後、他の衣類と分けて洗濯し ましょう。,,,,,,
ＲＳウイルス感染症,,3,,,,,,1,,1,5,1,,4,,,,,,,,,,,,,,,,,,,,
咽頭結膜熱,,3,,1,,,,1,3,,8,,1,4,1,,2,,,,,,,,,,,,,,,,,
Ａ群溶血性レンサ球菌咽頭炎,,7,2,4,,3,2,2,4,5,29,,,1,3,,3,7,1,4,1,5,2,,2,,,,,,,,,
感染性胃腸炎,,12,9,6,3,22,14,38,76,21,201,1,5,36,24,18,18,15,9,6,6,9,18,5,31,,,,,,,,,
水痘,,,,1,,6,1,2,,,10,,,,,1,3,1,4,,1,,,,,,,,,,,,,
手足口病,,,1,,,,,1,,,2,,,1,,1,,,,,,,,,,,,,,,,,,
伝染性紅斑,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
突発性発疹,,3,1,,,1,,5,1,2,13,,5,4,1,1,,1,1,,,,,,,,,,,,,,,
百日咳,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ヘルパンギーナ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
流行性耳下腺炎,,7,1,1,,5,2,2,2,8,28,,,,1,1,1,5,3,6,4,3,2,1,1,,,,,,,,,
"報告定点数 10 ヶ所 （内訳）東灘1,灘1,中央1,兵庫1, 眼科 設置定点数 10 ヶ所 北1,長田1,須磨1,垂水1,西2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
疾病名称,,東灘,灘,中央,兵庫,北,長田,須磨,垂水,西,計,～6ヶ月,～12ヶ月,1歳,2歳,3歳,4歳,5歳,6歳,7歳,8歳,9歳,～14歳,～19歳,～29歳,,～39歳,～49歳,,～59歳,～69歳,,70歳～,
急性出血性結膜炎,,,,,,,,,,1,1,,,,,,,,,,,,,,,,1,,,,,,,
流行性角結膜炎,,,,,,,2,,1,1,4,,,,,,,,,,,,,,2,,1,,,1,,,,
（定点機関から報告されたその他の感染症情報）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
灘 区○溶連菌・インフルエンザＡ重感染１例：０～４歳男 （６２０２） 灘 区○エンテロコッカス腸炎１例：２０代女（６２０２） 中央区○アデノウイルス感染症１例：０～４歳女（６３０１） 北 区○カンピロバクター腸炎１例：５～９歳男（６５０５） 北 区○アデノウイルス感染症３例：０～４歳男女、５～９ 歳男（６５０５） 北 区○ロタウイルス腸炎２例：０～４歳女、５～９歳男 （６５０５） 垂水区○ロタウイルス感染症１例：０～４歳女（６８０２）,,,,,垂水区○細菌性腸炎（カンピロバクター）３例：年齢・性別不明 （６８０４） 垂水区○病原性大腸菌（O-18）・カンピロバクター重感染１例： 年齢・性別不明（６８０４） 西 区○アデノウイルス感染症１例：０～４歳男（６９０１） 西 区○カンピロバクター腸炎１例：年齢・性別不明（６９０３） 西 区○マイコプラズマ感染症１例：年齢・性別不明（６９０３） 西 区○ロタウイルス感染症１例：年齢・性別不明（６９０３） 垂水区○トキソプラズマ症１例：２０代女（８８０２）※性感染症定 点からの報告,,,,,,,【結核に関する情報】 今週の結核届出患者数は17人（うち潜在性結核感染症2人）です。 【市内の感染症の状況】 ・ インフルエンザの定点あたり患者数は 4.0人（先週 3.9人）と少し増加しましたが、 全体的には減少傾向は続いており、流行終息のめやすとなる定点あたり患者数 1.0人に 近づいています。（例年、4月下旬～5月上旬に定点あたり患者数1.0人を下回り終息します）,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
基幹定点（市内 3ヶ所）からの報告,,,,,,,,,,,,,,,,,,,,,,,,,,A 型,,,B 型,,,をクリック,,
・インフルエンザによる入院患者：２人（０～４歳女１人、９０代女１人） うち１人は集中治療室、人工呼吸器、頭部CT 検査等で対応しています。 ・ロタウイルス胃膜炎：１人（０～４歳男）,,,,,,,,,,,,（インフルエンザ定点機関から報告された迅速キット陽性情報） 〔お知らせ〕 バックナンバーは神戸市のホームページからご覧いた 神戸市 発生動向 〔検索〕 「ILI情報センター」ホームページ,,,,,,,,,,,,,,114,,,59,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,ただけます。 ジを開設しました！詳細はこちらをクリック,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
