
疾病名称,,東灘,灘,中央,兵庫,北,長田,須磨,,垂水,西,,計,～5ヶ月,,～11ヶ月,1歳,2歳,3歳,4歳,5歳,6歳,7歳,8歳,9歳,～14歳,～19歳,～29歳,～39歳,～49歳,～59歳,～69歳,～79歳
インフルエンザ,,75,48,54,28,120,50,135,,186,215,,911,3,,6,36,44,56,57,55,53,48,50,33,149,37,45,64,73,40,26,26

疾病名称,,東灘,灘,中央,兵庫,北,長田,須磨,,垂水,西,,計,～6ヶ月,,～12ヶ月,1歳,2歳,3歳,4歳,5歳,6歳,7歳,8歳,9歳,～14歳,～19歳,20歳～,
ＲＳウイルス感染症,,,,,,1,,,,,,,1,,,,1,,,,,,,,,,,,
咽頭結膜熱,,1,,,,,,,,,,,1,,,,1,,,,,,,,,,,,
Ａ群溶血性レンサ球菌咽頭炎,,4,4,2,,2,2,,,4,7,,25,,,,,3,4,2,2,3,,3,2,4,,2,
感染性胃腸炎,,11,9,7,9,19,7,10,,55,27,,154,,,3,15,17,12,11,15,8,10,4,6,26,5,22,
水痘,,5,1,,,2,,,,,1,,9,,,,,1,1,1,,2,1,,2,1,,,
手足口病,,,,3,,,,2,,,,,5,,,,1,3,,1,,,,,,,,,
伝染性紅斑,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
突発性発疹,,2,,,,,,,,2,5,,9,1,,5,2,,1,,,,,,,,,,
百日咳,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ヘルパンギーナ,,,,,,,,1,,,,,1,,,,1,,,,,,,,,,,,
流行性耳下腺炎,,4,7,1,,4,1,3,,3,4,,27,,,,,1,,4,5,7,4,2,1,2,,1,

,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
疾病名称,,東灘,灘,中央,兵庫,北,長田,須磨,,垂水,西,,計,～6ヶ月,,～12ヶ月,1歳,2歳,3歳,4歳,5歳,6歳,7歳,8歳,9歳,～14歳,～19歳,～29歳,～39歳,～49歳,～59歳,～69歳
急性出血性結膜炎,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
流行性角結膜炎,,,,,,2,2,,,1,,,5,,,,,1,,,,,,,,,1,1,1,,1,
