神戸市感染症発生動向調査週報 平成28年11月24日 作成 神戸市感染症情報センター 報告定点数 48 ヶ所 第46週 2016年 11月 14日 ～ 2016年 11月 20日 インフルエンザ 設置定点数 48 ヶ所,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
疾病名称,,東灘,灘,中央,兵庫,北,長田,須磨,,垂水,西,,計,～5ヶ月,～11ヶ月,1歳,2歳,,,3歳,4歳,5歳,6歳,7歳,,8歳,9歳,,～14歳,～19歳,～29歳,～39歳,～49歳,～59歳,～69歳,～79歳,80歳～
インフルエンザ,,1,1,5,,2,2,9,,20,2,,42,,,,2,,,1,1,2,3,1,,2,,,5,2,5,5,6,4,2,1,
報告定点数 31 ヶ所 小児科 設置定点数 31 ヶ所,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
疾病名称,,東灘,灘,中央,兵庫,北,長田,須磨,,垂水,西,,計,～6ヶ月,～12ヶ月,1歳,2歳,,,3歳,4歳,5歳,6歳,7歳,,8歳,9歳,,～14歳,～19歳,20歳～,,結核は季節を問わず一年中、発生 の報告があります。経年的に神戸 市の結核患者数は減ってきていま すが、年間約330人が新たに発症 しています。人口10万人に対する 割合で見ても全国より高い水準が 続いており、患者の早期発見・早 期治療に加えて、発症者からの感 染に注意する必要があります。 徐々に寒くなってきており、咳や 痰といった症状が出ることも多く なるかと思います。その原因が結 核であっても、インフルエンザな どの他の感染症であっても、マス クの着用で他者への感染をある程 度を防ぐことができます。咳エチ ケットを心がけ、咳が2週間以上 続く場合には、結核の可能性を考 え、医療機関を受診しましょう。 神戸市HPの結核のページもご覧く ださい。,,,,
ＲＳウイルス感染症,,1,,1,,5,1,2,,4,17,,31,5,7,13,5,,,1,,,,,,,,,,,,,,,,,
咽頭結膜熱,,,,,,1,,1,,,1,,3,,1,1,,,,1,,,,,,,,,,,,,,,,,
Ａ群溶血性レンサ球菌咽頭炎,,8,5,2,,3,2,2,,7,25,,54,,,2,1,,,4,2,12,6,7,,4,4,,8,1,3,,,,,,
感染性胃腸炎,,22,20,17,6,60,21,43,,116,35,,340,2,6,35,32,,,26,40,55,27,21,,9,9,,35,7,36,,,,,,
水痘,,5,1,,,1,3,2,,9,1,,22,1,,3,1,,,2,2,4,4,2,,2,,,1,,,,,,,,
手足口病,,6,,1,,4,2,1,,2,1,,17,,2,7,3,,,,1,2,1,,,,,,1,,,,,,,,
伝染性紅斑,,,,,,,1,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,
突発性発疹,,4,,2,,1,1,2,,1,1,,12,,7,3,2,,,,,,,,,,,,,,,,,,,,
百日咳,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ヘルパンギーナ,,1,,,,,,,,3,,,4,,,,,,,2,,1,,,,,,,,,1,,,,,,
流行性耳下腺炎,,15,2,4,1,19,3,4,,5,10,,63,,,3,2,,,4,12,11,10,3,,7,3,,6,1,1,,,,,,
報告定点数 10 ヶ所 眼科 設置定点数 10 ヶ所,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,市HP「結核」（クリックでリンクします）,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
疾病名称,,東灘,灘,中央,兵庫,北,長田,須磨,,垂水,西,,計,～6ヶ月,～12ヶ月,1歳,2歳,,,3歳,4歳,5歳,6歳,7歳,,8歳,9歳,,～14歳,～19歳,～29歳,～39歳,～49歳,～59歳,～69歳,70歳～,視する さい。
急性出血性結膜炎,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
流行性角結膜炎,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,
（定点機関から報告されたその他の感染症情報）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
