神戸市感染症発生動向調査週報 平成28年11月30日 作成 神戸市感染症情報センター 報告定点数 48 ヶ所 第47週 2016年 11月 21日 ～ 2016年 11月 27日 インフルエンザ 設置定点数 48 ヶ所,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
疾病名称,東灘,灘,中央,兵庫,北,長田,須磨,,垂水,西,,計,～5ヶ月,～11ヶ月,1歳,2歳,3歳,4歳,5歳,6歳,7歳,8歳,9歳,～14歳,～19歳,～29歳,～39歳,～49歳,～59歳,～69歳,～79歳,80歳～
インフルエンザ,,3,,1,7,3,8,,17,7,,46,,,,4,2,2,6,3,1,6,2,6,3,5,1,3,1,1,,
報告定点数 31 ヶ所 小児科 設置定点数 31 ヶ所,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
疾病名称,東灘,灘,中央,兵庫,北,長田,須磨,,垂水,西,,計,～6ヶ月,～12ヶ月,1歳,2歳,3歳,4歳,5歳,6歳,7歳,8歳,9歳,～14歳,～19歳,20歳～,,ノロウイルスは人から人への感染 でも問題ですが、これによる食中 毒も毎年12～2月をピークに発生し ており、冬は特に注意が必要で す。ノロウイルスは感染後24～48 時間の潜伏期間後に嘔吐、下痢、 腹痛などの症状が現れます。食中 毒の原因として、ノロウイルスに 汚染された二枚貝などを生や加熱 不十分の状態で食べて感染する場 合や、感染者の便や吐物及びそれ らを処理した人のウイルスの付着 した手などを介しての二次感染が あります。感染予防の基本は手洗 いです。石けんを使用し、しっか り泡立ててのもみ洗いと、15秒間 の流水でのすすぎを2回繰り返すの が効果的です。 食材は中心部までしっかり火を通 しましょう（中心部が85℃～90℃ で90秒以上）。まな板、包丁、へ ら、食器、ふきん、タオル等は熱 湯（85℃以上）で1分以上の加熱消 毒が有効です。,,,,
ＲＳウイルス感染症,4,,1,,2,,2,,1,12,,22,6,2,7,3,2,2,,,,,,,,,,,,,,
咽頭結膜熱,,3,,,,1,1,,2,,,7,,1,,2,,2,1,,1,,,,,,,,,,,
Ａ群溶血性レンサ球菌咽頭炎,6,2,,,1,,1,,4,29,,43,,,,2,3,3,6,2,5,7,6,9,,,,,,,,
感染性胃腸炎,19,31,17,14,64,23,76,,125,29,,398,2,12,33,39,45,39,44,40,18,20,20,27,8,51,,,,,,
水痘,9,,,,14,7,3,,8,4,,45,,1,2,,5,13,9,7,3,1,1,3,,,,,,,,
手足口病,2,,1,1,3,1,7,,2,1,,18,,1,6,5,2,1,1,1,,,,,,1,,,,,,
伝染性紅斑,,2,,,,,,,,,,2,,,,,,1,,1,,,,,,,,,,,,
突発性発疹,1,,1,1,1,1,2,,,1,,8,,3,4,1,,,,,,,,,,,,,,,,
百日咳,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ヘルパンギーナ,,1,,,1,,3,,,3,,8,,1,1,,2,,2,1,,,,1,,,,,,,,
流行性耳下腺炎,17,3,2,1,8,6,9,,12,5,,63,,2,1,2,1,9,10,10,6,7,3,9,1,2,,,,,,
報告定点数 10 ヶ所 眼科 設置定点数 10 ヶ所,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
疾病名称,東灘,灘,中央,兵庫,北,長田,須磨,,垂水,西,,計,～6ヶ月,～12ヶ月,1歳,2歳,3歳,4歳,5歳,6歳,7歳,8歳,9歳,～14歳,～19歳,～29歳,～39歳,～49歳,～59歳,～69歳,70歳～,視する さい。
急性出血性結膜炎,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
流行性角結膜炎,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,
（定点機関から報告されたその他の感染症情報）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東灘区○ノロウイルス感染症２例：０～４歳男女（６１０１） 東灘区○帯状疱疹１例：６０代男（６１０２） 北　 区○ノロウイルス性胃腸炎１例：０～４歳女（６５０５） 北　 区○マイコプラズマ感染症１例：１０代女（６５０５） 垂水区○マイコプラズマ感染症１例：成人・性別不明（６８０４） 垂水区○細菌性腸炎（病原性大腸菌）２例：年齢・性別不明（６８０４） 垂水区○細菌性腸炎（カンピロバクター）１例：年齢・性別不明（６８０４） 西　 区○マイコプラズマ感染症１例：年齢・性別不明（６９０３）,,,,,,,,,,,,,【結核に関する情報】　　今週の結核届出患者数は０人です。 【市内の感染症の状況】 インフルエンザワクチンを遅くても12月中旬までに接種しましょう。 　11/21～11/27のインフルエンザ定点あたり患者報告数は、神戸市全体で0.96人となり、 　流行期（同1人以上）にかなり近づいています。ワクチンは重症化を予防し、発症をある程度 　抑える効果があります。神戸市では高齢者の定期接種、及び小児（1～13歳未満）は 　任意接種として予防接種費用の一部公費助成等を実施しています（詳細は市ＨＰ参照）。 【感染症発生動向調査事業実施要綱】 　http://www.city.kobe.lg.jp/life/health/infection/trend/img/youkou110729.pdf,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
