
疾病名称,東灘,灘,中央,兵庫,北,長田,須磨,垂水,西,計,～5ヶ月,～11ヶ月,1歳,2歳,3歳,4歳,5歳,6歳,7歳,8歳,9歳,～14歳,～19歳,～29歳,～39歳,～49歳,～59歳,～69歳,～79歳
インフルエンザ,139,89,121,51,228,78,144,223,338,"1,411",4,12,38,48,71,102,128,83,132,89,98,246,53,46,90,88,47,21,11

疾病名称,東灘,灘,中央,兵庫,北,長田,須磨,垂水,西,計,～6ヶ月,～12ヶ月,1歳,2歳,3歳,4歳,5歳,6歳,7歳,8歳,9歳,～14歳,～19歳,20歳～,
ＲＳウイルス感染症,3,,,,1,,,5,1,10,6,1,2,1,,,,,,,,,,,
咽頭結膜熱,2,,,,,1,,4,2,9,,,1,,3,2,3,,,,,,,,
Ａ群溶血性レンサ球菌咽頭炎,7,9,8,,1,1,5,9,28,68,,,2,2,7,4,12,7,6,7,5,11,1,4,
感染性胃腸炎,16,5,4,7,31,12,36,60,17,188,3,8,20,16,17,32,13,5,9,8,8,19,9,21,
水痘,1,,,,2,,1,1,2,7,,,,1,1,,,1,1,1,,2,,,
手足口病,,,,,,,,1,,1,,,1,,,,,,,,,,,,
伝染性紅斑,1,4,,,8,2,,2,3,20,,,,1,,4,2,4,,2,4,3,,,
突発性発疹,2,,2,,,1,,2,1,8,,3,4,1,,,,,,,,,,,
百日咳,,,,,,,,,,,,,,,,,,,,,,,,,
ヘルパンギーナ,,,,,,,,1,,1,,,,,,1,,,,,,,,,
流行性耳下腺炎,1,,,,3,,3,3,3,13,,,,,2,4,2,1,1,1,,2,,,

疾病名称,東灘,灘,中央,兵庫,北,長田,須磨,垂水,西,計,～6ヶ月,～12ヶ月,1歳,2歳,3歳,4歳,5歳,6歳,7歳,8歳,9歳,～14歳,～19歳,～29歳,～39歳,～49歳,～59歳,～69歳
急性出血性結膜炎,,,,,,,,,,,,,,,,,,,,,,,,,,,,
流行性角結膜炎,2,,,,1,2,,,,5,,,,1,,,,,,,,,,,2,,2,
