
疾病名称,,,,,,,東灘,灘,中央,,,兵庫,北,,長田,須磨,垂水,西,計,,,～6ヶ月,～12ヶ月,1歳,2歳,,3歳,4歳,5歳,6歳,7歳,8歳,9歳,～14歳,,～19歳,～29歳,～39歳,～49歳,～59歳,～69歳 ～79歳
インフルエンザ,,,,,,,1,3,3,,,,7,,1,5,16,3,39,,,,,2,5,,2,1,4,3,1,2,2,3,,,1,4,3,1,1 1

疾病名称,,,,,,,東灘,灘,中央,,,兵庫,北,,長田,須磨,垂水,西,計,,,～6ヶ月,～12ヶ月,1歳,2歳,,3歳,4歳,5歳,6歳,7歳,8歳,9歳,～14歳,,～19歳
ＲＳウイルス感染症,,,,,,,2,,1,,,,4,,,3,2,15,27,,,2,3,7,7,,4,2,,1,,,,1,,
咽頭結膜熱,,,,,,,1,,,,,,,,,1,1,2,5,,,,,1,1,,1,,,1,1,,,,,
Ａ群溶血性レンサ球菌咽頭炎,,,,,,,16,3,,,,,5,,1,3,19,11,58,,,,1,2,4,,4,4,8,15,2,3,1,8,,2
感染性胃腸炎,,,,,,,15,5,8,,,11,23,,6,28,37,20,153,,,3,11,31,18,,16,21,5,10,6,6,2,11,,2
水痘,,,,,,,2,2,,,,,5,,,2,1,2,14,,,,,2,2,,1,1,3,,2,,,2,,
手足口病,,,,,,,,2,2,,,,,,,1,,1,6,,,,,4,1,,,,1,,,,,,,
伝染性紅斑,,,,,,,,,,,,,,,,,1,,1,,,,,,,,1,,,,,,,,,
突発性発疹,,,,,,,2,,1,,,,,,1,1,1,6,12,,,1,1,10,,,,,,,,,,,,
百日咳,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,
ヘルパンギーナ,,,,,,,,,,,,,,,,,1,,1,,,,,,1,,,,,,,,,,,
流行性耳下腺炎,,,,,,,3,,2,,,,1,,,,5,5,16,,,,,,1,,1,1,2,2,4,1,1,2,,

,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
疾病名称,,,,,,,東灘,灘,中央,,,兵庫,北,,長田,須磨,垂水,西,計,,,～6ヶ月,～12ヶ月,1歳,2歳,,3歳,4歳,5歳,6歳,7歳,8歳,9歳,～14歳,,～19歳,～29歳,～39歳,～49歳,～59歳
急性出血性結膜炎,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
流行性角結膜炎,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【,【定点機,機関,関,,,,,,,他の感染症情,,,,情報】,】 【,,,,,【市,市内の感染症の状況】,,,,,】,,,,,,,,,,,,,,
,,,,関から報告されたその他の感染症情報】 【市内の感染症の状況】,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東灘区○ノロウイルス感染症2例：0歳6か月 男、0歳10か月 男 ○アデノウイルス感染症1例：2歳 男 中央区○アデノウイルス感染症1例：1歳 女 北 区○アデノウイルス感染症1例：5歳 女 垂水区○細菌性腸炎（病原性大腸菌O1）1例：年齢性別不明 西 区○細菌性腸炎（カンピロバクター）1例：10歳 女,,,,,,,,,,,,,,,,,,,○インフルエンザ 今週のインフルエンザ患者の報告は、定点あたり0.8人です（先週0.5人）。 まだ流行期（定点あたり1人）ではありませんが、今後の動向に注意しましょう。,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,【今冬のインフルエンザ総合対策について】,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,厚生労働省から今冬のインフルエンザ総合対策についてとりまとめたお知らせがありました。 厚生労働省のホームページには、インフルエンザQ&Aや啓発資料が掲載されています。 ホームページの情報等を参考にインフルエンザを予防しましょう。,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【 マ,【基幹定点（市 マイコプラズマ肺,,,,,,,,,,】,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,市内 3ヶ所）からの報告】 肺炎1例：2歳 女,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
〔お知らせ〕 バックナンバーは神戸市のホームページからご覧いただけます。 神戸市 発生動向 〔検索〕 「ILI情報センター」ホームページを開設しています。詳細はこちらをクリック,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,（ホームページURL） http://www.mhlw.go.jp/bunya/kenkou/influenza/index.html,,,,,,,,,,,,,,,,今冬のインフルエンザ総合対策について,,,,,
