name,電話番号
県立美術館―「芸術の館」―,078-262-0901
横尾忠則現代美術館,078-855-5607(総合案内)
県立歴史博物館,079-288-9011
県立人と自然の博物館,079-559-2001
県立考古博物館,079-437-5589
県立円山川公苑美術館,0796-28-3085
兵庫陶芸美術館,079-597-3961
人と防災未来センター,078-262-5050(観覧案内・予約)
県立フラワーセンター,0790-47-1182
県立播磨中央公園四季の庭,0795-48-5289
舞子公園　舞子海上プロムナード,078-785-5090
県立淡路夢舞台温室,0799-74-1200
武井報效会百耕資料館,078-733-2381
白鶴酒造資料館,078-822-8907
神戸深江生活文化史料館,078-453-4980
神戸大学海事博物館,078-431-3564
菊正宗酒造記念館,078-854-1029
甲南漬史料館,078-842-2508
沢の鶴史料館,078-882-7788
灘浜サイエンススクエア,078-882-8136
湊川神社宝物殿,078-371-0001
竹中大工道具館,078-242-0216
ＵＣＣコーヒー博物館,078-302-8880
ＫＯＢＥとんぼ玉ミュージアム,078-393-8500
神戸北野美術館,078-251-0581
有馬切手文化博物館,078-904-0024
長田神社宝物庫,078-691-0333
須磨寺宝物館,078-731-0416
橋の科学館,078-784-3339
孫文記念館（移情閣）,078-783-7172
最明寺郷土館,078-965-0067
長福寺考古資料館,078-994-0150
香雪美術館,078-841-0652
神戸ファッション美術館,078-858-0050
神戸ロボット工房（ロボット展示室）,078-322-5333
神戸市王子動物園　動物科学資料館,078-861-5624
神戸市立森林植物園,078-591-0253
神戸華僑歴史博物館,078-331-3855
尼崎市立田能資料館,06-6492-1777
尼崎市立文化財収蔵庫,06-6489-9801
尼崎信用金庫　世界の貯金箱博物館,06-6413-1163
尼崎市総合文化センター美術ホール,06-6487-0806
尼信会館,06-6413-1121
近松記念館,06-6491-7555
西宮市貝類館,0798-33-4888
西宮市大谷記念美術館,0798-33-0164
西宮市立郷土資料館,0798-33-1298
西宮市立郷土資料館分館　名塩和紙学習館,0797-61-0880
頴川美術館,0798-51-3915
辰馬考古資料館,0798-34-0130
白鹿記念酒造博物館,0798-33-0008
白鷹禄水苑（暮らしの展示室、白鷹集古館）,0798-39-0235
日本盛　酒蔵通り煉瓦館,0798-32-2525
黒川古文化研究所,0798-71-1205
堀江オルゴール博物館,0798-70-0656
芦屋市立美術博物館,0797-38-5432
芦屋市谷崎潤一郎記念館,0797-23-5852
エンバ中国近代美術館,0797-38-0021
俵美術館,0797-23-2878
滴翠美術館,0797-22-2228
伊丹市立博物館,072-783-0582
伊丹市立美術館,072-772-7447
伊丹市立こども文化科学館,072-784-1222
柿衞文庫,072-782-0244
宝塚市立小浜宿資料館,0797-81-3655
宝塚市立手塚治虫記念館,0797-81-2970
宝塚市立歴史民俗資料館　旧和田家住宅,0797-86-2752
宝塚市立歴史民俗資料館　旧東家住宅,0797-91-0314
宝塚文化創造館「すみれ♪ミュージアム」,0797-87-1136
川西市文化財資料館,072-757-8624
川西市郷土館,072-794-3354
川西市歴史民俗資料館,072-740-1244(市教委)
大阪青山歴史文学博物館,072-790-3535
三田市有馬富士自然学習センター,079-569-7727
三田市三輪明神窯史跡園,079-563-8211
三田ふるさと学習館,079-563-5587
三田市旧九鬼家住宅資料館,079-563-5587(三田ふるさと学習館)
猪名川町立ふるさと館,072-768-0389
多田銀銅山　悠久の館,072-766-4800
明石市立天文科学館,078-919-5000
明石市立文化博物館,078-918-5400
あかりの鹿児資料館,079-421-2191
鶴林寺宝物館,079-454-7053
高砂市歴史民俗資料室,079-448-8255
稲美町立郷土資料館,079-492-3770
播磨町郷土資料館,079-435-5000
にしわき経緯度地球科学館「テラ・ドーム」,0795-23-2772
西脇市郷土資料館,0795-23-5992
西脇市岡之山美術館,0795-23-6223
西脇市立緑風台古窯陶芸館,0795-22-3000
豪農の館　コヤノ美術館（西脇館）,06-6358-4930(本館)
生活協同組合コープこうべ協同学苑史料館,0794-85-5500
三木市立堀光美術館,0794-82-9945
三木市立金物資料館,0794-83-1780
小野市立好古館,0794-63-3390
五百羅漢（羅漢寺）,0790-43-0580
加古川流域滝野歴史民俗資料館,0795-48-3422
石の博物館　松内ミネラルコレクション,0795-32-3626
那珂ふれあい館,0795-32-0685
多可町立杉原紙研究所,0795-36-0080
多可町和紙博物館　寿岳文庫,0795-36-0080
姫路市立美術館（常設展のみ対象）,079-222-2288
姫路市立水族館,079-297-0321
姫路文学館（常設展のみ対象）,079-293-8228
姫路市書写の里・美術工芸館,079-267-0301
名古山霊園仏舎利塔,079-297-5030
姫路市平和資料館,079-291-2525
圓山記念日本工藝美術館,079-292-3433
大阪ガス　姫路ガスエネルギー館,079-246-1908
姫路市立手柄山温室植物園,079-296-4300
姫路市宿泊型児童館「星の子館」（宿泊対象外）,079-267-3050
福崎町立柳田国男・松岡家記念館,0790-22-1000
福崎町立神崎郡歴史民俗資料館,0790-22-5699
相生市立歴史民俗資料館,0791-23-2961
赤穂市立歴史博物館,0791-43-4600
赤穂市立美術工芸館（田淵記念館）,0791-42-0520
赤穂市立民俗資料館,0791-42-1361
赤穂市立有年考古館,0791-49-3488
大石神社義士資料館,0791-42-2054
花岳寺宝物館・義士木像堂,0791-42-2068
播州山崎花菖蒲園,0790-62-7727
たたらの里学習館,0790-76-3833
宍粟市歴史資料館,0790-74-8855
山崎歴史民俗資料館,0790-74-8855(宍粟市歴史資料館)
山崎歴史郷土館,0790-62-4620(図書館)
うすくち龍野醤油資料館,0791-63-4573
霞城館・矢野勘治記念館,0791-63-2900
たつの市立龍野歴史文化資料館,0791-63-0907
揖保乃糸資料館　そうめんの里,0791-65-9000
たつの市立室津海駅館,079-324-0595
たつの市立室津民俗館,079-324-0650
たつの市立埋蔵文化財センター,0791-75-5450
太子町立歴史資料館,079-277-5100
上郡町郷土資料館,0791-52-3737
佐用町立平福郷土館,0790-83-2635
上月歴史資料館,0790-86-1616
